Time (s),Scaled Tension (kN),Wind Factor,Wave Factor,Wind Reference,Wave Reference
0.0,172.86004778256682,0.25,0.3,wind01,wave01
0.1,152.2483943677246,0.25,0.3,wind01,wave01
0.2,166.20348626861477,0.25,0.3,wind01,wave01
0.30000000000000004,157.36661097755874,0.25,0.3,wind01,wave01
0.4,164.57886068249144,0.25,0.3,wind01,wave01
0.5,173.1708904665619,0.25,0.3,wind01,wave01
0.6000000000000001,161.69824903567445,0.25,0.3,wind01,wave01
0.7000000000000001,140.21655706471282,0.25,0.3,wind01,wave01
0.8,172.2142049259628,0.25,0.3,wind01,wave01
0.9,147.89782970448917,0.25,0.3,wind01,wave01
1.0,148.33724010494632,0.25,0.3,wind01,wave01
1.1,154.83405840719277,0.25,0.3,wind01,wave01
1.2000000000000002,163.00662437953127,0.25,0.3,wind01,wave01
1.3,177.43513031305233,0.25,0.3,wind01,wave01
1.4000000000000001,165.27667690525672,0.25,0.3,wind01,wave01
1.5,159.7780899016782,0.25,0.3,wind01,wave01
1.6,198.13255630294037,0.25,0.3,wind01,wave01
1.7000000000000002,169.3762779705825,0.25,0.3,wind01,wave01
1.8,186.6343929795246,0.25,0.3,wind01,wave01
1.9000000000000001,190.28820506404372,0.25,0.3,wind01,wave01
2.0,198.80805111098545,0.25,0.3,wind01,wave01
2.1,165.8709406629149,0.25,0.3,wind01,wave01
2.2,198.909861452235,0.25,0.3,wind01,wave01
2.3000000000000003,166.2382092550917,0.25,0.3,wind01,wave01
2.4000000000000004,172.04571100264474,0.25,0.3,wind01,wave01
2.5,167.46916268377802,0.25,0.3,wind01,wave01
2.6,175.91584663974857,0.25,0.3,wind01,wave01
2.7,129.11490473994957,0.25,0.3,wind01,wave01
2.8000000000000003,122.80806939212135,0.25,0.3,wind01,wave01
2.9000000000000004,154.54027881005018,0.25,0.3,wind01,wave01
3.0,128.96486785196896,0.25,0.3,wind01,wave01
3.1,155.63113420820838,0.25,0.3,wind01,wave01
3.2,181.69393068133797,0.25,0.3,wind01,wave01
3.3000000000000003,156.85269722122894,0.25,0.3,wind01,wave01
3.4000000000000004,179.6753708203268,0.25,0.3,wind01,wave01
3.5,201.02505787020766,0.25,0.3,wind01,wave01
3.6,191.25960135160005,0.25,0.3,wind01,wave01
3.7,169.52814465524267,0.25,0.3,wind01,wave01
3.8000000000000003,191.99042612824934,0.25,0.3,wind01,wave01
3.9000000000000004,207.23580610191362,0.25,0.3,wind01,wave01
4.0,223.16462145576457,0.25,0.3,wind01,wave01
4.1000000000000005,214.76764304249735,0.25,0.3,wind01,wave01
4.2,232.74522737498128,0.25,0.3,wind01,wave01
4.3,179.976553177957,0.25,0.3,wind01,wave01
4.4,203.40543247649333,0.25,0.3,wind01,wave01
4.5,181.50070792482256,0.25,0.3,wind01,wave01
4.6000000000000005,189.24451479644873,0.25,0.3,wind01,wave01
4.7,205.78084526536782,0.25,0.3,wind01,wave01
4.800000000000001,158.76254191915064,0.25,0.3,wind01,wave01
4.9,166.81493719498786,0.25,0.3,wind01,wave01
5.0,216.20551290765084,0.25,0.3,wind01,wave01
5.1000000000000005,210.20722730301262,0.25,0.3,wind01,wave01
5.2,203.36476807447502,0.25,0.3,wind01,wave01
5.300000000000001,217.28187390104324,0.25,0.3,wind01,wave01
5.4,214.66349357583147,0.25,0.3,wind01,wave01
5.5,217.50526288828524,0.25,0.3,wind01,wave01
5.6000000000000005,217.2565681825608,0.25,0.3,wind01,wave01
5.7,234.7181469690317,0.25,0.3,wind01,wave01
5.800000000000001,274.7589017843303,0.25,0.3,wind01,wave01
5.9,238.29042562480043,0.25,0.3,wind01,wave01
6.0,237.9923181274106,0.25,0.3,wind01,wave01
6.1000000000000005,235.4457403812125,0.25,0.3,wind01,wave01
6.2,206.37611982901464,0.25,0.3,wind01,wave01
6.300000000000001,243.73455685827108,0.25,0.3,wind01,wave01
6.4,212.3061670440863,0.25,0.3,wind01,wave01
6.5,191.23488440062732,0.25,0.3,wind01,wave01
6.6000000000000005,184.87800371880732,0.25,0.3,wind01,wave01
6.7,207.23084359699084,0.25,0.3,wind01,wave01
6.800000000000001,218.4284220135265,0.25,0.3,wind01,wave01
6.9,167.3140615357267,0.25,0.3,wind01,wave01
7.0,210.80646763290477,0.25,0.3,wind01,wave01
7.1000000000000005,167.20187459973306,0.25,0.3,wind01,wave01
7.2,187.19484907767125,0.25,0.3,wind01,wave01
7.300000000000001,216.8954559932429,0.25,0.3,wind01,wave01
7.4,232.14741294339777,0.25,0.3,wind01,wave01
7.5,209.2387263571195,0.25,0.3,wind01,wave01
7.6000000000000005,201.49926701052226,0.25,0.3,wind01,wave01
7.7,219.25380125375665,0.25,0.3,wind01,wave01
7.800000000000001,200.53141766792095,0.25,0.3,wind01,wave01
