# provenance: previous project reference
# extraction_date: 2026-07-29
# schema: grade,diameter_in,area_in2,unit_weight_lbf_ft,modulus_psi,catalog_sonic_velocity_ft_s,weight_derived_velocity_ft_s,tensile_strength_psi,raw_sonic_velocity_kft_s,catalog_velocity_relative_residual,source_rows,raw_labels
# units: explicit in unit-suffixed fields; surface values unverified_source_unit
grade,diameter_in,area_in2,unit_weight_lbf_ft,modulus_psi,catalog_sonic_velocity_ft_s,weight_derived_velocity_ft_s,tensile_strength_psi,raw_sonic_velocity_kft_s,catalog_velocity_relative_residual,source_rows,raw_labels
97,0.5,0.196,0.72,29000000,15800,15937.259810826257,140000,15.8,0.008687329799,2,97  - 0.500
97,0.625,0.307,1.13,29000000,15800,15921.421178561063,140000,15.8,0.007684884719,3,97  - 0.625
97,0.75,0.442,1.63,30500000,16000,16312.484737552506,140000,16,0.019530296097,4;8,97  - 0.750;97-0.750
97,0.875,0.601,2.22,30500000,16000,16299.096635623319,140000,16,0.018693539726,5;9,97  - 0.875;97-0.875
97,1,0.785,2.9,30500000,16000,16298.161437720514,140000,16,0.018635089858,6;10,97  - 1.000;97-1.000
97,1.125,0.994,3.67,30500000,16000,16302.827974284954,140000,16,0.018926748393,7,97  - 1.125
AOT 75,0.625,0.307,1.13,31000000,16000,16461.282916756116,125000,16,0.028830182297,11,AOT 75  - 0.625
AOT 75,0.75,0.442,1.63,31000000,16000,16445.650087783576,125000,16,0.027853130486,12,AOT 75  - 0.750
AOT 75,0.875,0.601,2.22,31000000,16000,16432.152693412986,125000,16,0.027009543338,13,AOT 75  - 0.875
AOT 75,1,0.785,2.9,31000000,16000,16431.209861114914,125000,16,0.026950616320,14,AOT 75  - 1.000
AOT 78,0.625,0.307,1.13,31000000,16000,16461.282916756116,120000,16,0.028830182297,15,AOT 78  - 0.625
AOT 78,0.75,0.442,1.63,31000000,16000,16445.650087783576,120000,16,0.027853130486,16,AOT 78  - 0.750
AOT 78,0.875,0.601,2.22,31000000,16000,16432.152693412986,120000,16,0.027009543338,17,AOT 78  - 0.875
AOT 78,1,0.785,2.9,31000000,16000,16431.209861114914,120000,16,0.026950616320,18,AOT 78  - 1.000
AOT 96,0.75,0.442,1.63,31000000,16000,16445.650087783576,140000,16,0.027853130486,19,AOT 96  - 0.750
AOT 96,0.875,0.601,2.22,31000000,16000,16432.152693412986,140000,16,0.027009543338,20,AOT 96  - 0.875
AOT 96,1,0.785,2.9,31000000,16000,16431.209861114914,140000,16,0.026950616320,21,AOT 96  - 1.000
AOT 97,0.75,0.442,1.63,31000000,16000,16445.650087783576,140000,16,0.027853130486,22,AOT 97  - 0.750
AOT 97,0.875,0.601,2.22,31000000,16000,16432.152693412986,140000,16,0.027009543338,23,AOT 97  - 0.875
AOT 97,1,0.785,2.9,31000000,16000,16431.209861114914,140000,16,0.026950616320,24,AOT 97  - 1.000
AOT-54,0.625,0.307,1.13,31000000,16000,16461.282916756116,115000,16,0.028830182297,25,AOT-54  - 0.625
AOT-54,0.75,0.442,1.63,31000000,16000,16445.650087783576,115000,16,0.027853130486,26,AOT-54  - 0.750
AOT-54,0.875,0.601,2.22,31000000,16000,16432.152693412986,115000,16,0.027009543338,27,AOT-54  - 0.875
AOT-54,1,0.785,2.9,31000000,16000,16431.209861114914,115000,16,0.026950616320,28,AOT-54  - 1.000
AOT-54,1.125,0.994,3.67,30500000,16000,16302.827974284954,115000,16,0.018926748393,29,AOT-54  - 1.125
AOT-75,0.625,0.307,1.13,31000000,16000,16461.282916756116,120000,16,0.028830182297,30,AOT-75  - 0.625
AOT-75,0.75,0.442,1.63,31000000,16000,16445.650087783576,120000,16,0.027853130486,31,AOT-75  - 0.750
AOT-75,0.875,0.601,2.22,31000000,16000,16432.152693412986,120000,16,0.027009543338,32,AOT-75  - 0.875
AOT-75,1,0.785,2.9,31000000,16000,16431.209861114914,120000,16,0.026950616320,33,AOT-75  - 1.000
AOT-75,1.125,0.994,3.67,30500000,16000,16302.827974284954,120000,16,0.018926748393,34,AOT-75  - 1.125
AOT-78,0.625,0.307,1.13,31000000,16000,16461.282916756116,120000,16,0.028830182297,35,AOT-78  - 0.625
AOT-78,0.75,0.442,1.63,31000000,16000,16445.650087783576,120000,16,0.027853130486,36,AOT-78  - 0.750
AOT-78,0.875,0.601,2.22,31000000,16000,16432.152693412986,120000,16,0.027009543338,37,AOT-78  - 0.875
AOT-78,1,0.785,2.9,31000000,16000,16431.209861114914,120000,16,0.026950616320,38,AOT-78  - 1.000
AOT-78,1.125,0.994,3.67,30500000,16000,16302.827974284954,120000,16,0.018926748393,39,AOT-78  - 1.125
AOT-96,0.75,0.442,1.63,31000000,16000,16445.650087783576,138000,16,0.027853130486,40,AOT-96  - 0.750
AOT-96,0.875,0.601,2.22,31000000,16000,16432.152693412986,138000,16,0.027009543338,41,AOT-96  - 0.875
AOT-96,1,0.785,2.9,31000000,16000,16431.209861114914,138000,16,0.026950616320,42,AOT-96  - 1.000
AOT-96,1.125,0.994,3.67,30500000,16000,16302.827974284954,138000,16,0.018926748393,43,AOT-96  - 1.125
AOT-97,0.75,0.442,1.63,31000000,16000,16445.650087783576,140000,16,0.027853130486,44,AOT-97  - 0.750
AOT-97,0.875,0.601,2.22,31000000,16000,16432.152693412986,140000,16,0.027009543338,45,AOT-97  - 0.875
AOT-97,1,0.785,2.9,31000000,16000,16431.209861114914,140000,16,0.026950616320,46,AOT-97  - 1.000
AOT-97,1.125,0.994,3.67,30500000,16000,16302.827974284954,140000,16,0.018926748393,47,AOT-97  - 1.125
AXLSN S-59,0.625,0.307,1.13,30500000,16000,16327.990982830626,85000,16,0.020499436427,48;52,Axlsn S-59  - 0.625;Axlsn S-59 - 0.625
AXLSN S-59,0.75,0.442,1.63,30500000,16000,16312.484737552506,85000,16,0.019530296097,49;53,Axlsn S-59  - 0.750;Axlsn S-59 - 0.750
AXLSN S-59,0.875,0.601,2.22,30500000,16000,16299.096635623319,85000,16,0.018693539726,50;54,Axlsn S-59  - 0.875;Axlsn S-59 - 0.875
AXLSN S-59,1,0.785,2.9,30500000,16000,16298.161437720514,100000,16,0.018635089858,51;55,Axlsn S-59  - 1.000;Axlsn S-59 - 1.00
AXLSN S-60,0.625,0.307,1.13,30500000,16000,16327.990982830626,100000,16,0.020499436427,56;60,Axlsn S-60  - 0.625;Axlsn S-60 - 0.625
AXLSN S-60,0.75,0.442,1.63,30500000,16000,16312.484737552506,100000,16,0.019530296097,57;61,Axlsn S-60  - 0.750;Axlsn S-60 - 0.750
AXLSN S-60,0.875,0.601,2.22,30500000,16000,16299.096635623319,100000,16,0.018693539726,58;62,Axlsn S-60  - 0.875;Axlsn S-60 - 0.875
AXLSN S-60,1,0.785,2.9,30500000,16000,16298.161437720514,100000,16,0.018635089858,59;63,Axlsn S-60  - 1.000;Axlsn S-60 - 1.000
AXLSN S-67,0.625,0.307,1.13,30500000,16000,16327.990982830626,108000,16,0.020499436427,64;68,Axlsn S-67  - 0.625;Axlsn S-67 - 0.625
AXLSN S-67,0.75,0.442,1.63,30500000,16000,16312.484737552506,120000,16,0.019530296097,65;69,Axlsn S-67  - 0.750;Axlsn S-67 - 0.750
AXLSN S-67,0.875,0.601,2.22,30500000,16000,16299.096635623319,120000,16,0.018693539726,66;70,Axlsn S-67  - 0.875;Axlsn S-67 - 0.875
AXLSN S-67,1,0.785,2.9,30500000,16000,16298.161437720514,120000,16,0.018635089858,67;71,Axlsn S-67  - 1.000;Axlsn S-67 - 1.000
AXLSN S-87,0.625,0.307,1.13,30500000,16000,16327.990982830626,108000,16,0.020499436427,72;76,Axlsn S-87  - 0.625;Axlsn S-87 - 0.625
AXLSN S-87,0.75,0.442,1.63,30500000,16000,16312.484737552506,125000,16,0.019530296097,73;77,Axlsn S-87  - 0.750;Axlsn S-87 - 0.750
AXLSN S-87,0.875,0.601,2.22,30500000,16000,16299.096635623319,125000,16,0.018693539726,74;78,Axlsn S-87  - 0.875;Axlsn S-87 - 0.875
AXLSN S-87,1,0.785,2.9,30500000,16000,16298.161437720514,125000,16,0.018635089858,75;79,Axlsn S-87  - 1.000;Axlsn S-87 - 1.000
AXLSN S-88,0.75,0.442,1.63,30500000,16000,16312.484737552506,140000,16,0.019530296097,81,Axlsn S-88  - 0.750
AXLSN S-88,0.875,0.601,2.22,30500000,16000,16299.096635623319,145000,16,0.018693539726,82,Axlsn S-88  - 0.875
AXLSN S-88,1,0.785,2.9,30500000,16000,16298.161437720514,145000,16,0.018635089858,83,Axlsn S-88  - 1.000
AXLSN S-88,1.125,0.994,3.68,30500000,16000,16280.662324368401,145000,16,0.017541395273,84,Axlsn S-88  - 1.1250
C,0.5,0.196,0.72,29000000,15800,15937.259810826257,90000,15.8,0.008687329799,102,C  - 0.500
C,0.625,0.307,1.13,29000000,15800,15921.421178561063,90000,15.8,0.007684884719,86;103,C   - 0.625;C  - 0.625
C,0.75,0.442,1.63,30500000,16000,16312.484737552506,90000,16,0.019530296097,87;104,C   - 0.750;C  - 0.750
C,1,0.785,2.9,30500000,16000,16298.161437720514,90000,16,0.018635089858,91;108,C   - 1.000;C  - 1.000
C,1.125,0.994,3.67,30500000,16000,16302.827974284954,90000,16,0.018926748393,93;110,C   - 1.125;C  - 1.125
D,0.5,0.196,0.72,29000000,15800,15937.259810826257,90000,15.8,0.008687329799,119;137,D   - 0.500;D  - 0.500
D,0.625,0.307,1.13,29000000,15800,15921.421178561063,108000,15.8,0.007684884719,120;138,D   - 0.625;D  - 0.625
D,0.75,0.442,1.63,30000000,16000,16178.223320746655,115000,16,0.011138957547,121;139,D   - 0.750;D  - 0.750
D,0.813,0.785,2.2,30500000,16000,18712.261319604903,115000,16,0.169516332475,141,D  - 0.813
