# provenance: previous project reference
# extraction_date: 2026-07-29
# schema: source_row,catalog_id,description,tensile_strength_psi,area_in2,modulus_mpsi,velocity_kft_s,unit_weight_lbf_ft,elastorq_raw
# units: explicit in unit-suffixed fields; surface values unverified_source_unit
source_row,catalog_id,description,tensile_strength_psi,area_in2,modulus_mpsi,velocity_kft_s,unit_weight_lbf_ft,elastorq_raw
3,0,"""UPCO-HS  - 1.000""",140000,0.79,30.5,16,2.9,0
4,1,"""C  - 0.500          """,90000,0.2,29,15.8,0.72,0
5,2,"""C   - 0.625""",90000,0.31,29,15.8,1.13,0
6,3,"""C   - 0.750""",90000,0.44,30.5,16,1.63,0
7,4,"""C   - 0.875""",90000,0.6,30.5,16,2.2,0
8,5,"""C   - 1.000""",90000,0.79,30.5,16,2.9,0
9,6,"""C   - 1.125""",90000,0.99,30.5,16,3.67,0
10,7,"""D   - 0.625""",108000,0.31,29,15.8,1.13,0
11,8,"""D   - 0.750""",115000,0.44,30,16,1.63,362
12,9,"""D   - 0.875""",115000,0.6,30,16,2.2,568
13,10,"""D   - 1.000""",120000,0.79,30.5,16,2.9,850
14,11,"""D   - 1.125""",120000,0.99,30.5,16,3.67,1214
15,12,"""D   - 1.250""",120000,1.23,30.5,16,5,0
16,13,"""D   - 1.500""",120000,1.77,30.5,16,6,0
17,14,"""E   - 0.500""",50000,0.2,29,15.8,0.72,0
18,15,"""E   - 0.625""",50000,0.31,29,15.8,1.13,0
19,16,"""E   - 0.750""",50000,0.44,30.5,16,1.63,0
20,17,"""E   - 0.875""",50000,0.6,30.5,16,2.2,0
21,18,"""E   - 1.000""",50000,0.79,30.5,16,2.9,0
22,19,"""E   - 1.125""",50000,0.99,30.5,16,3.67,0
23,20,"""F   - 0.745""",35000,0.44,8.2,15,0.48,0
24,21,"""F   - 0.870""",35000,0.59,8.2,15,0.66,0
25,22,"""F   - 0.995""",35000,0.78,8.2,15,0.84,0
26,23,"""F   - 1.170""",35000,1.08,8.2,15,1.22,0
27,24,"""F   - 1.240""",35000,1.21,8.2,15,1.34,0
28,25,"""F   - 1.463""",35000,1.68,8.2,15,1.89,0
29,26,"""K   - 0.500""",85000,0.2,29,15.8,0.72,0
30,27,"""K   - 0.625""",85000,0.31,29,15.8,1.13,0
31,28,"""K   - 0.750""",85000,0.44,30.5,16,1.63,0
32,29,"""K   - 0.875""",85000,0.6,30.5,16,2.2,0
33,30,"""K   - 1.000""",85000,0.79,30.5,16,2.9,0
34,31,"""K   - 1.125""",85000,0.99,30.5,16,3.67,0
35,32,"""KD  - 0.625""",108000,0.31,29,15.8,1.13,0
36,33,"""KD  - 0.750""",115000,0.44,30,16,1.63,362
37,34,"""KD  - 0.875""",115000,0.6,30,16,2.22,568
38,35,"""KD  - 1.000""",120000,0.79,30.5,16,2.9,850
39,36,"""KD  - 1.125""",120000,0.99,30.5,16,3.67,1214
40,37,"""KD  - 1.250""",120000,1.23,30.5,16,4.53,0
41,38,"""KD  - 1.500""",120000,1.77,30.5,16,6,0
42,39,"""N97 - 0.500""",140000,0.2,29,15.8,0.72,0
43,40,"""N97 - 0.625""",140000,0.31,29,15.8,1.13,0
44,41,"""N97 - 0.750""",140000,0.44,30.5,16,1.63,0
45,42,"""N97 - 0.875""",140000,0.6,30.5,16,2.22,0
46,43,"""N97 - 1.000""",140000,0.79,30.5,16,2.9,0
47,44,"""N97 - 1.125""",140000,0.99,30.5,16,3.67,0
48,45,"""SC  - 1.375""",90000,1.48,30.5,16,5,0
49,46,"""SC  - 1.500""",90000,1.77,30.5,16,6,0
